REPORT RequestId: fc96bec1-4ed2-4333-a749-e18a909e347a	Duration: 577.50 ms	Billed Duration: 1053 ms	Memory Size: 256 MB	Max Memory Used: 95 MB	Init Duration: 474.59 ms	
	REPORT RequestId: e27cb4de-cf83-4f3c-bdd7-a3a24ae618c5	Duration: 318.56 ms	Billed Duration: 319 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 075af6f5-c75a-4b0f-963b-dba26e425e82	Duration: 330.56 ms	Billed Duration: 331 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: eb428c67-053b-412e-9d98-0faf4f9c12dd	Duration: 723.58 ms	Billed Duration: 724 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: d6e93b49-16a4-44e3-91ac-60cfba617722	Duration: 527.84 ms	Billed Duration: 528 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: d5bcbb20-3f7c-4d71-a4b9-f060ae80f642	Duration: 481.74 ms	Billed Duration: 482 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 19864a10-e934-4ccf-9ce1-32709ba21906	Duration: 161.22 ms	Billed Duration: 162 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 655fac02-4ff2-4810-98c3-66981e9536aa	Duration: 226.80 ms	Billed Duration: 227 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 60e87e19-b7d7-43fd-b64b-6accd9916947	Duration: 222.40 ms	Billed Duration: 223 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 90edb6d9-ab55-465f-b211-4cc5ad82ba34	Duration: 267.54 ms	Billed Duration: 268 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 4ab7857a-c3f2-4569-896a-597830476710	Duration: 267.12 ms	Billed Duration: 268 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 27947bc9-59df-4ef6-82c6-76f8e7b31362	Duration: 278.03 ms	Billed Duration: 279 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 72dd751d-a144-4c26-9cb0-3d3dc0c0bcc4	Duration: 288.61 ms	Billed Duration: 289 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: a7c3fd4f-ac82-4520-9f94-507a1d1803f7	Duration: 258.01 ms	Billed Duration: 259 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 8e46224c-f044-4108-a4dc-c56cc5db263b	Duration: 272.92 ms	Billed Duration: 273 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 709741c1-1743-44bd-9911-fe44da0836eb	Duration: 303.73 ms	Billed Duration: 304 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
